model,type,AUC,F1,P,R,ACC
META_XGB_64d,meta_strong,0.9861650000000001,0.9762376237623762,0.9666666666666667,0.986,0.96
arcface_lite,single_strong,0.97557,0.9553617239610056,0.9810326659641728,0.931,0.9275
emotion_lite,single_strong,0.98232,0.9675810473815462,0.9651741293532339,0.97,0.9458333333333333
resnet50,single_strong,0.98356,0.9771825396825397,0.969488188976378,0.985,0.9616666666666667
xception,single_strong,0.9756975000000001,0.9679645145391819,0.9543245869776482,0.982,0.9458333333333333
arcface_lite,single_weak,0.939425,0.9360613810741688,0.9581151832460733,0.915,0.8958333333333334
emotion_lite,single_weak,0.9469150000000001,0.9437185929648241,0.9484848484848485,0.939,0.9066666666666666
resnet50,single_weak,0.9559799999999999,0.9220159151193634,0.9819209039548022,0.869,0.8775
xception,single_weak,0.933745,0.9072602013778485,0.9650507328072153,0.856,0.8541666666666666
